Domain,Computer,IP Address,Listen Port,Domain Hierarchy,Connection Status,GUID,Scan Method,File Reputation service Status,File Reputation service URL,Web Reputation service Status,Web Reputation service URL,Virus/Malware,Spyware/Grayware,OPP,Update Agent Component,Update Agent Setting,Update Agent Program and Hotfixes,Platform,Architecture,MAC Address,Client Program,Cisco Trust Agent,Smart Scan Agent Pattern,Virus Pattern,IntelliTrap Pattern,IntelliTrap Exception Pattern,Virus Scan Engine,Spyware Pattern,Spyware Active-monitoring Pattern,Spyware Scan Engine,Virus Cleanup Template,Virus Cleanup Engine,Behavior Monitoring Driver,Behavior Monitoring Core Service,Behavior Monitoring Configuration Pattern,Digital Signature Pattern,Policy Enforcement Pattern,Behavior Monitoring Detection Pattern,Last Startup,Last Shutdown,Client Installation,Client Upgrade,Hotfix,Last Virus Scan (Manual),Last Virus Scan (Real-time),Last Virus Scan (Scheduled),Last Virus Scan (Scan Now),Last Spyware Scan (Manual),Last Spyware Scan (Real-time),Last Spyware Scan (Scheduled),Last Spyware Scan (Scan Now),C&C IP List,
Workgroup\,APLO-FLASH-177,192.168.75.248,48008,Workgroup\,Offline,7a8e6a77-e189-403f-8e53-0ca770bf8b38,Conventional Scan,,,Unavailable,N/A,0,0,Disabled,Disabled,Disabled,Disabled,Windows NT platform series 6.3.9600,x64,48-BA-4E-4A-F2-72,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/14/2018 5:51:43,8/14/2018 5:42:54,6/27/2018 15:11:31,N/A,8/8/2018 19:45:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,APLO-FLASH-187,192.168.75.187,12345,Workgroup\,Offline,a18d8541-fc74-468b-a1f7-1f8becd1d2f6,Conventional Scan,,,Unavailable,N/A,0,0,Disabled,Disabled,Disabled,Disabled,Windows 7 6.1.7601,x64,10-7D-1A-14-7E-DC,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/13/2018 12:22:10,7/30/2018 10:49:15,11/29/2017 17:02:09,N/A,8/8/2018 19:45:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,APLO-FLASH-188,192.168.75.188,12345,Workgroup\,Offline,7c8f759e-3f40-430b-b310-bff9537b7813,Conventional Scan,,,Unavailable,http://172.168.168.100:5274/,0,0,Disabled,Disabled,Disabled,Disabled,Windows 7 6.1.7601,x64,10-7D-1A-14-E8-74,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,9.713.1015,N/A,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/2/2018 14:02:45,8/2/2018 13:57:56,11/29/2017 17:02:09,N/A,5/22/2017 15:11:01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,APLO-FLASH-189,192.168.75.189,12345,Workgroup\,Offline,0ff084b0-68b5-48c3-a8d2-d3c53774a54c,Conventional Scan,,,Unavailable,N/A,0,0,Disabled,Disabled,Disabled,Disabled,Windows 7 6.1.7601,x64,10-7D-1A-14-E2-08,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,9.713.1015,N/A,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/13/2018 12:04:19,8/11/2018 12:23:37,11/29/2017 17:02:09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,APLO-FT-01,192.168.75.244,48008,Workgroup\,Offline,56553b25-19bc-4f9f-b8b0-572504bf5667,Conventional Scan,,,Unavailable,http://172.168.168.100:5274/,0,0,Disabled,Disabled,Disabled,Disabled,Windows NT platform series 6.3.9600,x64,00-E0-8F-00-2F-44,10.6.5372,N/A,,14.441.00,0.241.00,1.529.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/15/2018 10:43:59,8/6/2018 20:37:27,1/11/2018 16:06:18,N/A,8/8/2018 19:45:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,APLO-FT-02,192.168.75.29,48008,Workgroup\,Offline,f06b7190-254a-47fc-8f90-e21d5f1157c2,Conventional Scan,,,Unavailable,http://172.168.168.100:5274/,0,0,Disabled,Disabled,Disabled,Disabled,Windows NT platform series 6.3.9600,x64,00-E1-00-00-2E-75,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/6/2018 9:45:51,8/6/2018 9:37:05,1/11/2018 16:05:00,N/A,8/8/2018 19:45:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,APLO-FT-05,192.168.75.62,48008,Workgroup\,Offline,fa7a4340-5690-4d07-9061-e2a43df9aa65,Conventional Scan,,,Unavailable,N/A,0,0,Disabled,Disabled,Disabled,Disabled,Windows NT platform series 6.3.9600,x64,00-E0-8F-00-2E-22,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/15/2018 10:04:46,8/15/2018 9:58:56,1/11/2018 16:09:00,N/A,8/8/2018 19:45:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,APLO-FT-06,192.168.75.138,48008,Workgroup\,Offline,c0fad3a1-ee18-42f7-b830-7848791dc0f4,Conventional Scan,,,Unavailable,N/A,0,0,Disabled,Disabled,Disabled,Disabled,Windows NT platform series 6.3.9600,x64,00-E1-1A-00-07-A1,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/11/2018 20:56:35,8/11/2018 20:50:24,1/11/2018 15:57:47,N/A,8/8/2018 19:45:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,APLO-FT-07,192.168.75.146,48008,Workgroup\,Offline,a6f1f7da-736a-42bc-912a-03018abd7373,Conventional Scan,,,Unavailable,N/A,0,0,Disabled,Disabled,Disabled,Disabled,Windows NT platform series 6.3.9600,x64,00-E1-02-00-4C-F8,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/15/2018 16:09:32,8/15/2018 16:02:46,4/3/2018 15:22:21,N/A,8/8/2018 19:45:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,APLO-FT-08,192.168.75.39,48008,Workgroup\,Offline,c767b8bb-1f79-44fe-b9dd-a6b91cb387d5,Conventional Scan,,,Unavailable,http://172.168.168.100:5274/,0,0,Disabled,Disabled,Disabled,Disabled,Windows NT platform series 6.3.9600,x64,00-E1-11-00-10-1A,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/15/2018 13:39:05,8/15/2018 13:32:01,4/3/2018 15:41:53,N/A,8/8/2018 19:45:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
