Domain,Computer,IP Address,Listen Port,Domain Hierarchy,Connection Status,GUID,Scan Method,File Reputation service Status,File Reputation service URL,Web Reputation service Status,Web Reputation service URL,Virus/Malware,Spyware/Grayware,OPP,Update Agent Component,Update Agent Setting,Update Agent Program and Hotfixes,Platform,Architecture,MAC Address,Client Program,Cisco Trust Agent,Smart Scan Agent Pattern,Virus Pattern,IntelliTrap Pattern,IntelliTrap Exception Pattern,Virus Scan Engine,Spyware Pattern,Spyware Active-monitoring Pattern,Spyware Scan Engine,Virus Cleanup Template,Virus Cleanup Engine,Behavior Monitoring Driver,Behavior Monitoring Core Service,Behavior Monitoring Configuration Pattern,Digital Signature Pattern,Policy Enforcement Pattern,Behavior Monitoring Detection Pattern,Last Startup,Last Shutdown,Client Installation,Client Upgrade,Hotfix,Last Virus Scan (Manual),Last Virus Scan (Real-time),Last Virus Scan (Scheduled),Last Virus Scan (Scan Now),Last Spyware Scan (Manual),Last Spyware Scan (Real-time),Last Spyware Scan (Scheduled),Last Spyware Scan (Scan Now),C&C IP List,
Workgroup\,5CSFCS,192.168.123.237,32618,Workgroup\,Online,2c8ac543-ca67-4e55-86e6-88a4480036b6,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2003 5.2.3790,x86,00-1E-C9-F8-6A-21,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,9.750.1007,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.813.00,8/4/2018 14:48:27,2/14/2018 10:54:29,5/22/2017 14:14:31,N/A,8/1/2018 16:51:12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,CRAZY-BIG-CAT,172.30.26.99,32618,Workgroup\,Online,b7fda2ce-4972-4121-9e02-2b2cbd3e5135,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2008 6.1.7601,x64,E8-39-35-26-87-D0,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,9.950.1006,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.751.64,8/10/2018 19:28:14,8/10/2018 19:23:54,5/29/2017 10:07:53,N/A,5/18/2017 21:27:34,11/23/2017 10:54:20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10161.00,
Workgroup\,DOMAIN-SEVER,192.168.123.59,32618,Workgroup\,Online,3e384ce8-5101-40b2-9ecc-1075c4652462,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2008 6.1.7601,x64,E8-39-35-26-87-96,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/10/2018 19:32:20,8/10/2018 19:26:53,11/17/2017 15:07:32,N/A,5/18/2017 21:27:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,ECOBEE_SERVER_2,192.168.123.92,32618,Workgroup\,Online,6c0e61d8-ba0e-4da4-9c3c-0697d8672b46,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2008 6.1.7601,x64,2C-76-8A-A9-B7-9C,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/13/2018 10:48:59,8/13/2018 10:44:18,12/19/2017 10:01:04,N/A,5/18/2017 21:27:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,GA9P-238,192.168.123.99,12345,Workgroup\,Online,0644e231-ef89-4b6d-b6ba-294601b66f3b,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2003 5.2.3790,x64,E4-11-5B-B4-7D-1E,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,9.713.1015,N/A,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/13/2018 10:38:56,2/14/2018 10:19:48,6/14/2017 11:19:30,6/14/2017 11:28:42,5/18/2017 21:27:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,GLADYS_SERVER_2,192.168.123.96,32618,Workgroup\,Online,6f613b2c-fc2f-4ec1-a46e-92d7145dccef,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2008 6.1.7601,x64,00-1B-21-88-68-BB,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/10/2018 19:42:23,8/10/2018 19:38:02,7/3/2017 11:34:50,N/A,5/18/2017 21:27:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,P5_RF_FA,192.168.123.97,32618,Workgroup\,Online,94add7f2-9daf-48e1-abf9-683779eb632b,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2008 6.1.7601,x64,E4-11-5B-B4-73-14,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,10.000.1043,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/13/2018 10:46:56,8/13/2018 10:42:57,5/30/2017 8:23:18,N/A,5/18/2017 21:27:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,P5TE-21F01264,172.30.26.32,32618,Workgroup\,Online,c4afffbf-06c1-458b-813f-fa8462e33462,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2003 5.2.3790,x86,00-15-17-8B-A4-4F,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,9.750.1007,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.813.00,8/11/2018 14:37:06,8/11/2018 14:32:49,5/22/2017 13:11:23,N/A,8/8/2018 19:50:59,1/31/2018 14:36:57,N/A,N/A,N/A,1/31/2018 14:36:57,N/A,N/A,N/A,1.10023.00,
Workgroup\,P5TE-33EN2845,192.168.123.24,32618,Workgroup\,Online,3bb50d2d-eedf-4623-a234-613559ef90ab,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,1,0,Disabled,Disabled,Disabled,Disabled,Windows 7 6.1.7601,x86,A4-BA-DB-A0-15-EC,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,9.750.1007,19.87,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.813.00,7/4/2018 19:59:11,6/27/2018 14:44:54,5/22/2017 15:33:58,N/A,8/8/2018 19:50:59,N/A,7/11/2018 9:44:29,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
Workgroup\,P5TE-54001455,192.168.123.85,12345,Workgroup\,Online,19af0593-5e08-475c-afa3-c5372866eacb,Conventional Scan,,,Available,http://osce10-6-en.url.trendmicro.com,0,0,Disabled,Disabled,Disabled,Disabled,Win Server 2003 5.2.3790,x64,78-AC-C0-FA-23-0C,10.6.5372,N/A,,14.443.00,0.241.00,1.531.00,9.713.1015,N/A,1.987.00,6.2.3030,1584,7.5.1035,2.95.1194,2.95.1196,1.235.00,1.571.00,1.237.00,1.322.64,8/11/2018 14:54:32,7/2/2018 10:49:24,5/30/2017 11:29:21,N/A,5/18/2017 21:27:34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.10023.00,
